160|135
-80,-138,162,-78,-182,135|81,-93,48,-182,-159,181
-85,191,-173,-110|60,21,-57,79
125,191,85,84,-84,89,-162,98|-23,-44,128,-56,-43,163,15,-186
156,-24,-7,-170,-164,80,-34,-182|142,-57,-30,-7,-59,-113,153,102
-156,-111,-30,161,-91,184,189,81|-12,-5,-2,191,-105,-195,-38,96
6,173,-55,-117,198|133,19,-55,-5,-108
-161,31,-159,22|-35,-1,-63,-23
-23,-60|-14,-28
-55,-128,98,137|6,-26,-100,121
165,81,-63,113,-115,35,118,-103,86,8|58,-74,52,-9,-84,96,-67,70,-165,-123
30,100,76,-13,-167,-90,-117|78,-100,115,138,28,188,149
-35,94,34,192,-162,168,8,-108|63,-194,67,-82,137,184,-98,-116
133,156,98,114,157,-120,142,-153|-2,-158,-126,-86,55,-64,-11,31
-120|176
67,83,89,143,-156|47,14,-153,77,-58
77,51,-43,80|-94,173,126,-81
-199,-86,-35,-130,79,148,111,3,-132|106,-9,186,-164,142,135,103,-179,-59
8|11
-183,-119,-50,164|179,57,120,-50
37,-105,195,-63,145,-36|-137,-90,-161,45,-97,199
187,-191,-17,-169,-151,70,-87,114,117|-65,2,185,61,61,165,147,-161,-52
108,180,188|77,85,160
-103,67,57,140|-76,158,-1,138
-114,-115,-59|71,-19,92
-82,-83,47,-63,-145,31,-43|-116,164,-16,140,-188,-197,-145
-118,-193,18|-147,-77,-160
198,21,-11,-75|190,100,192,140
-79,-82,-120,-105,-76,-63,-133,84,-56|189,171,-62,37,53,-153,116,119,187
48,1,161,-127,77,-139,100,-46,87,166|-68,-54,-107,-97,149,-138,186,145,153,164
-81,-95,-153,199,-135,-107,53,-11,34,-116|179,199,-11,-65,-10,177,-1,189,-196,163
-21,-165|143,65
137,-200,-10|115,62,51
-54,-191,-168,-138|-134,28,-183,56
74,130,161,-28,77,-186|-125,84,-123,-168,121,-28
158,151|42,-30
-98,98|-134,-67
1,-45,85,143|-195,176,-161,100
71,-80,7,-30,-46,-177,43,173|99,-142,-170,87,173,-103,57,-128
-96,-115,186,-180,-3,145,104,36|-93,-51,-11,-20,68,-158,-39,-52
-147,1,55|170,-164,116
106|172
130,-12|4,-28
108,174,-156,139|123,-173,17,-104
-102,175,-22|141,-171,171
-125,-36,149,87,168|137,-178,156,38,197
-47,-54,17,61|-90,-56,56,-87
-62,16,69,200,168|54,-19,-197,61,-47
-35,-85|-94,5
-194,127|-100,-98
-126,-181,55,81,-195,82,148|117,-24,164,-63,45,-199,103
44,158,181,78,163,-171,177|172,-104,145,-172,-43,80,-12
76,97,-14,140,112,64,74,-75|149,71,-88,-159,-70,-25,-12,-37
-180,112,-165,-177,-180,-104,29,107,76|-3,23,-155,149,141,-21,12,126,-4
55,-35,-86,189,122|84,-137,85,143,-200
-168|17
-149,161,-135,-39,-60,-117,109,-77,165,120|-28,171,-125,134,-114,-29,-116,-83,188,190
197,174,-8|-10,68,-152
-158,110,0,-31,-141,96,-151|-86,-156,-39,-83,-175,-186,42
-151,-169,-42,69,-145,97,16,-118,-23|152,16,93,-109,22,163,-132,35,88
-68,149,118,-30,-115,180,-129,-88,106,9|146,20,-188,-181,-63,176,-28,198,161,-57
-106|-8
-154,-110,45,25,-89,-37|100,-169,-105,-152,69,-46
103,-77,6,-23|10,-118,-172,121
113|61
-154,-48,53,12,118|-43,-123,-123,78,194
-138,90,-17,108,185,147|-104,-93,169,-164,-50,-112
-68|188
-73,194,-70,-175,94,115|143,66,-145,-91,-179,95
51,-70,-21,32,194|-132,-23,-99,-184,-90
128,13,-48,-166,33,14,-81,-114,18,-112|144,-2,-89,-158,-57,-36,-130,-37,-199,-55
-10,61,-77,-181,-6,-142,189,126,123,-148|-95,82,-70,167,-163,-33,-9,-37,158,79
2,139,-181,-34,-128,-193,-61,-128|-59,-118,-160,-109,143,6,-51,-30
-55,44,180,-84|29,-104,106,18
-19|-104
14,-53,68,155|124,-169,-91,-90
194,131,72,23,189,-24,-149,15,-84,21|-5,-134,133,187,-123,175,-193,183,23,-156
-136,21,-77,198,-84,16|13,-78,-176,182,89,-115
47,68,-101,-175,187,197,-29,13,-31|166,-73,21,140,100,-95,-192,122,-131
-43,7,88|28,52,-113
5,113,185,7,-124,121|72,11,-98,40,46,50
161,28,175,3,25,147,77|-108,85,-25,-50,-6,141,-7
90|124
-29,3,-190|-132,-16,-197
-136,51,143,7|8,83,79,-130
21,-137|-118,-140
-167|28
82,-87,-80,172,88,67,-68,-91|113,-164,174,-95,-66,45,-149,-78
20,-18,54,-185|138,-82,155,-137
-10,-77,-64,170,127|-135,-141,-167,-9,189
-99,100,107,-189,61|-48,87,-170,77,-184
-151,-139,-98,181,173|-32,-141,100,5,72
-71,50,-29,38,170,-80,2|-29,24,-2,117,-31,33,95
-43,-184,-125,106,60,119,11,106|148,-110,-22,-7,200,38,-193,192
112,170,126,-41,-102,181,121,26|-178,-40,-84,93,86,-164,0,-1
49,79,145,10|-14,-195,103,6
-75,-137,-144,-119,176,-11|-41,-36,-51,173,69,78
38|17
89,-195,90,-79,-15,66|-100,178,101,139,-66,-134
-96,118,55,66|-198,69,-147,-103
-94,-5,-137,48,-40,-180,152,-88,10|-27,-10,-192,-19,181,-5,76,166,99
27,-72,139,193,-126,62|-191,96,27,61,-119,86
150,-93|-166,-89
-29|-188
-83,-161,93|-188,-175,-40
-122,-122,158,-167,142,-83,66,-145|-122,47,-41,-107,-157,165,-94,161
123,196,-38,58,1,4|188,-32,114,-102,-89,-82
-125,162,-10,-193,15,-162,11,152,-197|-165,-96,134,117,-103,108,-198,193,-159
-125,134,-183,-90,-44,-164,-193|-103,49,92,3,149,44,-39
72,132,8,-116,40,56,108,-113,-40|8,-194,179,48,132,-69,89,103,11
-25,-77,-179,165,54,39,48,-53|-98,146,58,-112,18,112,-98,58
-182|-39
-187,-137,-53,-79,149|-27,-134,50,3,-162
35,28,170,-155,89,-67,-100|-122,179,-10,102,-36,-179,194
200,-97,160,108,-127,-186|-164,-74,-66,-9,-37,-136
94,-67,-35,-136,39|-176,-31,26,179,-142
-157,-197,-30,171,-171,-131,137,187|-1,-20,-87,120,-194,-167,25,194
-30,157,-71,119,33,-175,179,162,-84,35|112,-198,32,-186,76,25,-121,-92,-159,14
-122,186,80,99|157,186,-43,-165
-95,8,-34,127,95,112,-186,38,67,144|-49,-41,-167,-101,-45,-62,163,9,89,-121
-95|192
-5,-109,-174|128,-121,-80
-49,178,-84,10,112,-6,-45,190,-22,23|9,146,-15,51,96,181,25,-83,-88,-127
-134,35,194,13,13,126|32,44,79,5,-187,72
59,-76,-33|-7,99,191
143,75,90,174,-170,14|187,68,-147,30,69,-173
128,4,-169,82,68,-141|75,20,123,80,-2,181
-102,156,195,41,-198,34,-184,76,-185,156|51,117,187,117,-90,-118,182,-153,100,47
